,reviews,sentiment
21,"Im a very critical movie watcher, so if you are not prepared for nitpicking than please understand my review might not be for you. I enjoyed the movie very much, now lets get to the juicy things I wish the movie had done instead. I know its a Disney movie but that doesn't stop me from wanting to see the most epic comic book movie in history if they changed a few things.1. Thanos never kills anyone(besides loki *maybe*) A. SOME people died in this movie (black widow, Iron Man) but they died from heroic sacrifice. Not from Thanos's power. B. I wanted to see Thanos kill Iron man, or Thor, or Any major character. After the movie 3-5 people should have been dead and your like, What now? But instead almost everyone is alive and you can already see the next movies coming out soon. C. In Infinty War Thanos was the biggest baddest guy in the universe, In this movie the avengers are fighting a new Thanos that isnt even that bad ass or cool or anything, thats why he should have killed someone on the battle field like Captain America. To show the strenght and might and danger of Thanos. I like Capstain America's happy ending, but I would have liked it even more if he died to Thanos and Hulk or Thor got revenge, which leads to point 2.2. Thor, Hulk, Capetian America, Iron man, Captain Marvel, or Someone should have killed Thanos in battle on the battle field. Imagine if Captain America died by Thanos hands, and HULK goes into a rage and kills Thanos. Then they take the glove off of his and and do the snap. Then Hulk would be a legend and that would be part of the history forever. Hulk Thanos killer, or Thor the Asgaurd god who killed Thanos. 2A. Instead legends like Thor and Hulk are reduced to side comic characters like the antler Gaurdian of the galaxy lady and rocket racoon. Thor even leaves at the end with the Racoon and Gaurdians, and seems to join their crew and set up for the next comedy action movie..... which is funny and great. But I would have preferred the fighter warrior Thor. The Thor that opened a sun onto himself to reforge his hammer. What the heck happened to the Thor who almost killed Thanos In Infinity war? why did we get this comedy relief fat Thor. Yes he is really funny. But I would have preferred him to fight toe to toe with Thanos, instead of make a few jokes. 2B. HULK got the same treatment as a comic/clown. He can kill Thanos. Hulk literally never got mad and angry and started smashing people. He never smashed Thanos or fought him at all in this movie.3. To many emotional scenes, Hawkeye walking his dog...etc. Tony Stark doing a pov youtube video documentary about if he wants to fight or not. These are the greatest fighters in history in the greatest fight against their greatest enemy. Show some more fight scenes. Show some intensity and tension. They went back in time so easy and got the stones so easy as they are cracking jokes. Black widow soul gem scene was good, but they still needed some fight scenes. Someone should have died to retrieve one of the stones. or should have got stuck in time or something.4.Fake gauntlet. Why did Thanos go to the Asgard holy weapon site to make that gauntlet, the only thing that can hold the infinity stones, if iron man can just hold the stones on his robot arm. I thought the Gauntlet was special and magical. I dont like that scene at all. Why couldn't someone just kill Thanos and then they use the gauntlet to snap after they pull it off his dead hand. They wanted it to be more tense, but it just created a plot hole and just breaks the reality and power of the gauntlet and the stones and all of the lore.5. So my main gripe with the movie even though I enjoyed it for funs sake, was that no real consequences happened. Only Theoretical consequences people sacrificing themselves for the greater good etc boring storyline. I wanted Thanos the biggest bad guy in comic books, to have done something of weight. In the end he did nothing. He should have killed Iron man. He should have killed Captain America or Thor, or Scarlett witch or all three of them. His plan got completely foiled and he personally did no damage. weak. Thanos is weak, he couldn't kill one measly earth defender.6, Captain marvel flying around for no reason doing no damage, weak.Infinity war had more tension, more fights, and more deaths in battle. I am highly disappointed from this great movie. Highly Dissapointing Great Movie",1
22, Dialogues!! ,0
23, Should have been called Avengers: meh ,0
24," Disappointing, very ",0
25,"As generic and cookie cutter and dull and boring as 'movies' can possibly be... I love how all the overgrown, second adolescence/ immature 'adults' talk about how 'moved' they are by this kind of garbage. It's fine for kids. Adults are just dumb for liking rubbish like this... This bores me to tears...",0
26, Boring ,0
27, One of my favorite MCU Films ,1
28, So much potential lost .... ,0
29, This is sooooo boring and empty in every ways ,0
30, Best movie in 2010 decade ,1
31, Worst marvel movie ,0
32,"What's this dribble, there's about 30 minutes of action and it's a predictable boring at that and overall mind numbing silly movie , all but this one are okay , what agenda are the feminists pushing as they try going woke and ending up broke. Shame ,hope you downloaded it and were not shammed out of any money to watch...",0
33, Cognitive dissonance ,1
34,"After watching my brother and my friends were like they all have seen Finest movie of the century but there were lots of potholes and lengthy unnecessary emotions I was disappointed in the beginning when they killed thanos like most weakest villain in mcu and they go back to past collect infinity stone and and stopped thanos to snap I don't know why I am writing this review one of the most boring movie mcu universe unnecessary film for mcu universe they should have stopped on infinity war, Infinity war infinite time better than endgame...",0
35,"What a boring, predictable excuse for a movie. I'm so glad I resisted the hype and didn't suffer through this in the theaters. It's obvious this movies reviews are artificially inflated on this site, just look at all the other negative reviews.",0
36,"Most electrifying scenes of all time, most emotional scenes of all time, greatest action, hardest goodbyes, comedy, tear rolling big six credits... and so much more. I just wish the writers gave Iron man and Thor their own great moments to shine during the fight with thanos.",1
37, Too Long ,0
38, The infinity war is better than endgame ,1
39, Really? ,0
40,I can't believe this movie has as high a rating as it does. This movie was so slow! It was more a drama then an action movie. You just had sad characters crying for the first two hours.And don't get me started on the time travel paradoxes. Time travel stories are for simpletons that can't write anything good.,1
41, Melodramatic Superhero movie ,1
42, must be a marvel universe fan to like it ,1
43, Astoundingly boring. ,0
44,"This was probably one of the worst movie I have seen, even on the Marvel scale. How can they take so many talented actors and make this non-sense? I laughed every time emotional drama came. Instead of tears, I was was feeling pity for myself. I hope this is really the endgame. But I doubt.",0
45, Wish i could rate 0 stars ,0
46,It looked like a cartoon movie. I think the director showcased in the movie whatever he saw in his dream.,1
47,"Couldn't believe how long this film was when I heard! 3 hours is just overwhelmingly bad if you ask me but still considering that I seen the previous 3 films I had to give this one a chance at least once.Went into this knowing the torture of watching a 3 hour film with an over stretched story line, plot holes galore, dragged scenes & political correctness shoved down your throat & that wasn't even the icing on the cake!But then after watching I found the film was below 3 hours. Actually, it was 2 hours & 49 minutes in total, but that's no far off the 3 hour mark. The film itself was ok & I mean below mediocre at best & at worst overrated!The story-line was easy enough to follow, but still had some confusing points which weren't well executed. Like the part where they traveled back in time & they were fighting their past selves. Other plot points too which didn't illustrate well what was happening or what was what.The run time which is obviously the biggest let down also contributed to the dragging nature which stretched out a story-line so simple it could've snapped! The ending especially was like watching paint dry in slow motion & my arse felt pretty numb when I left the cinema.There was some good action parts but there isn't much goes to say about this film or others like it which are clearly forgettable & loaded with confusing story-lines, details & sci-fi overkill.I also didn't appreciate the political correctness & female feminazi empowerment in this film which I seen twice at the finale part. A black woman at the end being ""king"" or ""leader"" of the land instead of Thor really? I don't know... I'd say that political correctness itself is just part of the issue I have with these films overall. It needs to stop!Overall not good & seriously over hyped for what it is! I can safely say these films have gone down hill since the beginning of the 2010's. They've delved into too much sci-fi, complicated story-lines with too much details, are too up in the air & not grounded enough & are riddled with political correctness! It's just sad as the classics before it were so much better & watchable, if not RE-watchable!The 10/10 reviews are clearly fake & once again proves just how biased the rating system has become with paid reviewers giving this junk anything over what I've rated it as. More honesty & less BS.2/10",0
48,I paid 10 euros for this movie... and it doesnt worth even for free view... disaster...,1
49, Weak ,0
50,I don't know if I would like to go to another marvel film after that - the writing was really bad! Why did Captain Marvel didn't do that instead of Iron Man? She is pure energy... Why did Dr. Strange didn't opened a huge portal for Thanos and took them elsewhere? Or more simply why no one let Strange the time-stone and he just make a milion years go by on Thanos army. What happened to Thanos' ideology of saving the universe? Suddenly he just wants to destroy it?,0
51, Fortunalety this is the end! ,1
52,It really is a theme park ride. Iron Man movie series was decent but this is just trash.,1
53, Boring ,0
54,"This movie was a joke,average superhero movie where the heroes win and everyone's happy, hounestly zero dialogue this whole thing is just liked because marvel is ending, this movie made people ""cry""?really?the only thing that made me cry was my money I spent on seeing this garbage, thor was ruined along with hulk, thanks was dumber down,and capitain marvels horrible scenes were pain full to sit through,hounestly I'm glad people are coming to their senses and rating this movie lower now that they rewatch it, it's full of plot holes and the time travel is embarrassing lazy writing that's a disgrace to real time travel movies,besides the hype this movie had nothing it was 100% hypebased in fact I dont think anyone acctually paid attention to the movie, the ending was extremely predictable and the final battle was bland with the only background colors being brown and destroyed ships so disapointing after the amazing movie that showed that superhero movies can be more then saving the day and the bad guys losing",0
55," The writers got carried away, the directors over reached and the studio sacrificed the integrity of their product. ",0
56, Really disappointed... ,0
57,"First of, Infinity War was the greatest MCU movie ever made IMHO.Of course, following it up was never going to be easy, and it's sheer greatness and the impact of the 'snap' was something that the Russos just couldn't navigate a way out of. However, plot difficulties aside, there was really no excuse for some of the poor character treatment and pacing issues that they had.Positives: RDJ's actingNatasha and Hawkeye's last interactionsCGINegatives: Abysmally poor treatment of Thor, reduced to a comic relief sideshowAbysmally poor treatment of the Hulk - One of the strongest characters of the MCU didn't fight more than 10secs in the 2 supposedly landmark movies of the MCU??Completely ruined Thanos - reduced to a caricature 'bad guy' after an excellently built character in IWPoor re-introduction of the vanished Avengers - seems most of the team wasn't even paid and they just used some stock footage from previous movies for their blink and you miss appearancesWasted potential of Capt Marvel - why introduce a character so powerful, and then not use them for >95% of the movie?Pacing - all over the place. Could easily have trimmed the fat and achieved a much more coherent productMore of a Cap+Stark movie than an Avengers movie.Time travel plotholes - hellloooo. I was OK with the main plan of stealing, snapping, restoring the stones. Hell, I am even OK with Cap getting the happy ending (assuming he stays in hiding his entire life and Carter's life decisions are not affected by the guy in her basement). But as soon as Thanos goes to the future and dies there, Uh Oh - did we just lose the entire Infinity War?? Maybe I am too dumb to understand this...In the end, while the homage to the movies and characters was fine, I really wanted to have a movie I would rush to watch again (Like I did with IW). Sadly, they couldn't deliver this time.",0
58," This better be the ""Endgame"" of the ""Avengers"" joke. ",0
59, The End of an Era! ,1
60, Watched Guardians again to get bad taste out of my... ,0
61," A horribly, boring and goofy installment. Worst one yet. ",0
62,"That is a typical example of a movie trying to squeeze juice out of a story that falls short. X-men finished their old-cast franchise so much better, and darker, and better (sorry did I say better before...), yeah much better. Endgame is simply not up to par with the rest of the Marvell movies.",0
63, Ruined the MCU ,0
64, Overrated ,0
65,So something else with your time. The movie is just that bad.,0
66,Best to finish the MCU with infinity wars. This was garbage with massive plot holes and Thanos being a generic villain instead of the complex antagonist he was in infinity wars. Massive let down.,0
67, OMG long boring and ztupid ,0
68, Mi Question ,1
69,"I'm extremely disappointed as it didn't have any cheese in the film and the film simply wasn't British enough. Thor and Loki's lovely accents were the only redeeming qualities, the rest was just terrible as i had to sit through 3 entire hours of annoying barely understandable accents with no cheese to get my love balls stirring. Afterwards I had to have several pints of tea to cheer me up, don't waste your money on this Britons.",0
70, Blockbusters and the unpredictable virtue of ignorance. ,1
71,"Now, that a week has spend after his releasing ay theatres, i'll explain muy question in Pesce. After five or six years after this, could there be something about this movie that makes recomended, else of his hype and the marketing?I Am not a really Marvel or DC's fan, but i loved some of their movies such as; DC's: Dark Knight all, Wonder Woman, Man on Steel, Shazam. And Marvel's: Guardians of the Galaxy, Dr Strange, Winters soldier, and of Course: Infinity War. But i was waiting a lot about this, i has too big expectations, them go to the midnight releasing and i found a fast food product of movie; horrible script, horrible performance, stupid logic, terrible story. Really is this the current cinema's way? I ll'get out of this awful and cheap movie theather.",0
72,"3hrs of zooming around jumping through time, with stops for flat emotional diatribes . Then an end battle where the actors who are retiring were given a story exit. Blah blah. At least 'infinity war' had more laughs and a few nerdgasm scenes like Thor arriving in wakanda. End game looks and feels like a money extraction excercise . Perhaps they should have made this into a trilogy with part one thanos winning (2hrs), part 2 all about the emotional distress and how messed up things are (2hrs), then part 3 how they sort stuff out (2hrs). A bit like the first star wars trilogy . Overall meh",0
73,They shy away from the true aftermath expected from half the universe dying. Only Thor's regret was believable. The entire time heist plot was bull and boring to watch. The battle was hugely overcrowded nothing caught my eye like wow look at that. They should not have had the whole Dr Strange bull that there was only one way. There were many ways it could have been avoided. Felt nothing.,0
74,Where to start???? This is such a bad movie that I am so disappointed with Marvel. Can't believe critics who are rating such movies so high. Its very clear that we cannot go by what critics say. Good movies are bad and bad movies are good!!,0
75, Bullsh#t ,0
76, Undewhelming and Overhyped ,1
77,What is this garbage? 3 hours of absolutely nothing but awful dialogue and boring misplaced fight scenes. Must be all the brainwashed Marvel fanboys who gave this movie a top rating...,0
78, Good but over-rated ,1
79, Trash movie! ,0
80, Ridiculous ,0
81, wow what i garbage ,0
82,"My 10 year old nephew LOVES super heroes and he's watched all Marvel and DC movies, but after 30+ minutes into this one he says: ""This movie is no good. We are wasting our time"".I couldn't agree more. We forced ourselves to continue watching though, maybe it would get better. It didn't. At times we both laughed at how bad it was.The 10 year old who (again) LOVES super hero movies suddenly stopped watching while there was still 40 minutes left, he just went out to play instead. At this point I couldn't care less of how things turned out at the end so I just turned it off prematurely.Just an indication of how failed this movie was, in our opinion.",0
83, Such a bad film....this ruined the great buildup ,0
84,"With exception of handful actors play and CGI, this movie lacks in all aspects, thus making it outright pointless.",0
85, Bit over hyped I would say! ,0
86,"What have they done wrong with this movie ""everything"" They have turned Thor & Hulk into joke characters the whole movie feels hurried and confusing the CGI is poor on more than one occasion a lot of MCU characters are more cameos than necessary.I enjoyed the early Marvel movies but the most recent ones are ruining the franchise how they made so much £££ out of this is baffling it only gets more confusing the longer you watch it.I am not sure why so many cameos were necessary as Captain Marvel was all that was needed.",0
87,Story is too weak to thrill anyone. the fighter and flying worms from thanos were supposed to die even at no strike. The culminating part (battle) of the movie was childish. 2/3 time was boring and ridiculous overacting scenes,0
88,"Long, boring, no story, no nothing ! Long, boring, no story, no nothing ! Long, boring, no story, no nothing !",0
89, Horrible! ,0
90,I expected an action movie with a real battle. Unfortunately it was just a loong and boring exchange of lines..,0
91,Weak writing.Bad guys are bad for the sake of being bad.Too much reliance upon CGI and cute punchlines.,0
92," Offensive movie with louzy script, excessive run time, script with a million discrepancies ",0
93, Long and sucky ,0
94,"I've just come from watching Endgame and I must say that I am disappointed.I loved Civil War and I loved Infinity War. When I came out of those films, I knew immediately that they were great and that I wanted to see them again. With Endgame, I'm not sure.I respect how they were prepared to show the consequences of what Thanos had done but by killing him off so quickly and then them having to do their own stone quest (hadn't we already seen Thanos doing this in IW) it felt slow and lazy. Worse still was that it felt very self-indulgent and attempting to be clever for clever sake.Like how Back to the Future II considered itself clever for showing the events of the first film but with Marty flitting around behind the scenes to ensure that it all still happened. I know it's meant to be fan pleasing but it really felt like a gimmick and lacking in confidence. Almost like it was saying 'Hey guys, this will make you smile'. If you want to make me smile, concentrate on maintaining the quality of your product rather than directly trying to make me like you.But the trouble with messing around with timelines and bouncing around is that it makes the audience start asking questions during the film. The linearity that we'd seen in IW and the imminent fast approaching threat is replaced in Endgame with a lack of direction and characters that are earlier versions of who the audience have seen.In IW we were shown Thanos. He was written to be sympathetic or at least a character that we the audience could understand. He believed in what he was doing and this made him more rounded. But in Endgame, that version is dispatched quickly and we are supplied with a 2014 (?) Thanos who isn't the character we know but is just a token bad guy.This Thanos hasn't made the sacrifice at Vormire, he isn't the guy that would empathise with Scarlet Witch for what she did to Vision. He has suddenly become a token cut out evil bad guy that needs to be defeated. Hell, the writers even manage to forget their own time loop by saying that this Thanos has learnt that he doesn't want to wipe out 50% anymore because they are too ungrateful. How does he know this when the 2014 Thanos has only just literally arrived in the post wipeout Universe? How has he had time to form the opinion that his previous quest for a 50% cull isn't worthy?Is this a case of the writers being terrified that they had created a bad guy that people related to or was it a fear that they'd written themselves into a hole? Why go to the effort of creating that character in IW to suddenly kill him off at the beginning of Endgame just for a dramatic punch?For me, the time travelling and stone gathering wasted time to create unimportant scenes that fundamentally undermine the films that came before. In my opinion it would have been better if they had shown the remaining Avengers preparing to do some Avenging and maintained the single minded linearity of IW of battling towards and reaching a post click Thanos and somehow reversing his work.The more I think of the film, the more plot holes and frustrations manifest themselves. Thor's drinking and man child antics might have been initially funny but one begins to realise that they are deliberately doing this to clip his wings. Likewise with Hulk, his primordial desire to smash and destroy has been removed to think it out and he has become an embarrassing shadow of his former self.The thing that is meant to be amazing about the MCU is the world building but inconsistencies have been appearing and there are so many in Endgame that it makes you question whether these two films are written by the same people.In IW, Thanos is a dangerous and credible threat because he has the infinity stones. He takes on half of the Avengers, Strange and some of the Guardians on Titan and smashes them and then takes on the other half on Wakanda and smashes them. Yet it is Stormbreaker (whose creation we have seen been hard earned by a motivated Thor) that has the power to take down Thanos even when he has a full complement of Infinity Stones.Yet we roll forward to Endgame and we have literally all the good guys together in one place, Cap with his shield, Tony fully powered up, Scarlet Witch p*ssed and vengeful, Capt Marvel who can seemingly do anything and Thor wielding both Mjolnir AND Stormbreaker and Thanos NOT in possession of the gauntlet, yet they can't defeat him.It's like the fights in IW were so amazing because the good guys were taking on an unbeatable foe yet here he is now seemingly defeatable by the 'rules' that the writers established . A good example of this would be in IW when Cap is the last man standing before Scarlet Witch and he grabs the gauntlet. You see the look of admiration/respect on Thanos' face that Cap is holding open the gauntlet before he punches him to the ground yet now that scene seems pointless.The writers for Endgame seem to have been driven to undo everything they did in IW. All the tension, all the sacrifice, all the development of Thanos discarded for well, I don't know what. It makes no sense.IW had two incredible scenes that used to choke me up. When Cap appears in the train station, the Avengers theme kicks in and Falcon and Widow take down the henchman in a wonderfully choreographed scene. In just that one scene it shows them coming to the rescue, it shows how intuitively they work together and it showcases their heroism.Likewise when Thor creates Stormbreaker and makes his entrance on Wakanda, I felt it for the journey that Thor has been on. He's had to contend with loss and defeat and humiliation and this is his redemption. Here is a character that has earned his game changing weapon and when he arrives and demands to face a character that everyone else is running away from, I want to punch the air.But in Endgame, that feels like it has to be corrupted. We can't have Thor being dominant, let's break him and make him a fool. We can't have Thanos being complicated and relatable, let's make him a cut out bad guy. We can't have Hulk being rage fuelled and smashing stuff up, let's make him more sensitive and talking stuff out. We can't have Cap being stoic and heroic, let's have him ridiculing one of his own iconic lines in a silly gimmicky fight with himself and commenting on his butt. We can't have a powerful female character that we're invested in look sexy AND be able to take down Thanos, let's give Scarlet Witch a small part but focus our attention on a female character that hasn't earnt our admiration or desire for revenge.To be honest, the 'rules of engagement' had been set so well in IW that when in Endgame Thanos massed his ranks against the Avengers and then ALL of the good guys showed up, I was almost expecting the camera to pull away and not show the fight given that it was so obviously going to be an easy win for the good guys.And as for the big fight scene, it did reek of what DC always manage to do which is just throw everything into an end battle and bludgeon you with CGI and pyrotechnics so that you aren't really sure what is going on.In the many fights in IW, you knew what was going on, you recognised the combatants, you understood the stakes and you identified the geography of the scene. In Endgame we got one big massive fight where everything was thrown in the pot and it was just assumed by the directors that we would be happy with all the flashing lights. And I have to say that considering that Steve and Tony fell out so hard, and that Tony's criticism of Steve was so unfair, that I really had hoped for more than just a handshake, a muttering of 'no worries' and 'here's your shield'. These guys wrote and directed Civil War, they created the line 'we fell out hard' and hence I had hoped for something deeper and more touching than a handshake.Steve wrote Tony a letter telling him that when he needed him he'd be there but once again the Iron Man bias had to creep in and once again Tony was the victim and the ultimate hero.But I think my biggest problem is how the convenient time travelling undermines everything. When a franchise starts retrofitting stuff (like Fury's eye being from a space cat), it's then hard to consider the previous stories.Having 2014 Gamorra means that all the evolution that we saw her go through in GOTG 1 and 2 is wasted. Having Cap marry Peggy means the pain of his sacrifice, him seeing her in Winter Soldier when she is suffering from Alzheimer's, hell even his blossoming relationship with Sharon Carter is kinda irrelevant. Having seen Thor at last step away from his two weaker origin films into the entertainment of Ragnarok and the redemption in IW leaves us now with a bumbling buffoon.We know that what makes Captain America what he is, is the serum that makes him a super soldier. That he was transformed from a weakling to a superhuman. Sam Wilson is not a super soldier and he didn't take the serum. He is Falcon. Now maybe in the comics he becomes Cap but Bucky is a super soldier. Is the new Cap going to foil an evil plot and be defeated with a tazer or a knife to the chest? Consider the beatings that Steve has taken and the physical strength that he has shown we can recognise that Sam Wilson does not have that.I'm sorry to say but the Russo's have dropped the ball. Themselves and their writers have succumbed to their success and their desire to be engineers of political correctness and social change. I thought Endgame would be the high soaring end to this 10 year run of impressive movie entertainment but in the end the writers got carried away, the directors over reached and the studio sacrificed the integrity of their product for a chance to 'educate' us all. A real shame and a wasted opportunity.Infinity War is clearly the highlight of the last 10 years but even now I fear that repeated viewings will render it pointless considering how the makers decided to fundamentally damage it.",0
95,"When you see a movie with a 8.5 rating then it must be brilliant. Sadly not the case here. This movie is hugely overrated. I've seen all the previous movies and they have all been great and I understood them. This one I was scratching my head thinking what on earth is going on? The plot was an incoherent ambling mess....too many characters, no flow or direction. This looked like a movie edited from bits of previous movies. I'm surprised this is rated so highly....I'm very disappointed that this was a lazy movie....a waste of 3 hrs.",0
96, Anas AounAlsoud ,0
97, This is a stupid movie ,0
98,Super is this film................ Better than some films,1
99, time travel mess ,0
100,"After all the hype on social media about endgame I would assume I'd enjoy an action packed title but I swear I literally fell asleep halfway into it, (not even joking, I had to watch the other half when I woke up) infinity war was wayy better, more action less drama, hard emotion etc the works, but hey I'm not a fan of superhero movies.",0
101, Long and boring ,0
102,"Avengers: Endgame is not a good movie. In fact, even when you like the Avengers, there are far better options to watch than this one, for example Infinity War. Endgame has lot of boring and cringy scenes, you really need to force yourself to watch it without skipping parts of it. Especially the fact that these ""Superheroes"" are still crying every day after Thanos snap and cant build up a life again was annoying af.",0
103,"-spoilers!--Iron man had to go talk to his dad in the past, Thor had to talk to his mom, Hawkeye got to go see his old dead girlfriend.. How convenient that all the stones were in the past directly next to the main characters loved ones. Nobody had to go hundreds of years in the past or anything? Nope all the stones were just a generation away hanging out with your parents so you could go reconnect with them and get emotional.-Tons of plot holes with time travel. We were told it creates a split in the timeline when they time travel, creating a whole new timeline. Sooo.. What happened to the old timeline they left behind to go back in time to defeat Thanos? Does this mean there is a timeline where all the superheroes abandoned the world to go back in time? And at the end when Captain America went back in time, shouldn't it have created a new timeline for him as well? Instead of him being able to meet up with them when he was old? Although this doesn't bother me as much as the other point of this review, it did make the story feel a little hollow and vague.-Felt like there was only 1 single battle sequence in this movie. Aren't there usually a few smaller battles before the final epic one? It was like 2.5 hours of drama and feelings and ""oh I miss my mom"" and only about 12 minutes of good fighting. The fighting was also so cut up, trying to give every hero a great cameo, that no fight scene lasted longer than 10 seconds without being cut. Even after Iron man gives Thanos a long pre-fight speech it only shows about 2 seconds of fighting before they cut away.-They kill Thanos in the beginning super easily, no effort, kinda upsetting. This made the entire previous movie feel like a waste. (even though it was a much better movie)-The Hulk made me cringe. They've changed his character so drastically he's not even the hulk anymore. He doesn't get angry, he doesn't regenerate (either does Captain in this movie), he doesn't smash. He's always in green form. They explain all of the above with, oh I shot myself with some gamma rays. THEN LATER WHEN HE PUTS ON THE GLOVE THEY SAY THE HULK IS PRETTY MUCH IMMUNE TO GAMMA RAYS?! Ugh. He also mentions how he was trying to fight the hulk, but then he realized the hulk is the cure. What is he the cure to if he cant regenerate anymore? I miss the old Edward Norton Hulk to be completely honest.-Personally, I hated Captain Marvel. I hate the actor, I hate the character, I hate her vague god like powers, I hate how she randomly shows up in this movie even though she wasn't in any of the others. I hate how she only shows up for a few minutes in the beginning and a few seconds at the end.-Literally the best scene in the movie is at the very end, when Thor and StarLord are arguing about who's in charge of the ship.",0
104, Nonsensical garbage ,0
105,"Sry, but this isn't a 8,7 rating movie. I get that it's all doom and gloom with what happened in the last movie, but u don't drag that out for 2 hours. Main acts becomes sideshows, story is a mess. Put in a bit of woke and u release it. I will not rewatch this.",0
106, Not a great MCU title ,1
107, A true wonderfully executed fraud. ,1
108,Infinity War was a million times better than this trash,1
109,"One just gets the sense that this movie took a subtle yet noticeable shift away from what captured many people's hearts in the earlier MCU movies.The actors give off the feeling of being forced to portray a role that used to be natural fits in order to impose various woke messages. There are so many but they come at a rate of every couple of minutes, ranging from blatant grrl power, to emasculation and so on. Muddling along.Aside from the odd action scenes, this movie could pass as a drama.",1
110, 2hrs of Yawn + 1hr of disappointment ,0
111,Please don't waste your time on this...Its very boring. It's like they pre-sell the movie with a good ending of infinity war. Its a rip off. Trust me you won't believe this. I quite after 30 minutes.I am writing this review to alert people: keep your money and time for something else.,0
112,"I managed to watch 40 minutes of this crap, and then could not stand it any longer. You must be a true fan of Marvel Universe to see it until the end. If you are not, avoid - nothing makes sense in this utterly boring movie. Acting is really bad too. High-end special effects cannot save it.",0
113, Sooooo boring!! ,0
114,"Overrated and slow as hell. I was yawning whole time during first-half, second half was little better. Don't know the taste of people nowadays creating so much hype for an average movie. I found Alita way better in all aspect action, story, vfx still it is underrated. Eagerly waiting for Alita's sequal soon.",0
115, Boring ,0
116," Poor Overall, Amazing at times, Definitely not Infinity Wars 2! ",1
117,In the movie they say that the time travel will not affect the past?! How is that possible? Thor even stole the hammer from his past!!! He left him without a hammer!!!!Hulk basically he didn't have any fight! He did not even got revenge from the last time he fought with thanos.Captain Marvel could just have killed the Thanos without the stones all by herself!,1
118,"Such a high tension left from Infinity war , and then such fast bad solutions...with nonsense. bad sense of humor. i was disappointed. Maybe for teenagers around 14-15 years old thats pretty ok.",0
119,"After Infinity War I was expecting Endgame to be the best movie made for all time, but it seemed like Infinity War was so great that the producers ran out of good material for Endgame. So instead of another decently awesome Marvel movie they went polar opposite to Infinity War and decided to make the worst movie possible. They chose to destroy the foundation of each of the main Avenger characters and prop up the secondary characters as the heroes in order to share the screen or be politically correct or something silly like that. And can we please stop making movies about time travel. It's stupid and impossible to do correctly and impossible in general so just ditch the idea! There's a lot more I could say but it's been almost a year now and I just don't care enough to keep tearing this movie apart. Basically I'm done watch Marvel because of this movie.",0
120,Coulda been done 1m better in an hour or so - too much crap on the hot dog to get a decent bite,0
